"sample"	"gdd0"	"gdd5"	"chill"	"mtco"	"mtwa"	"mipt"	"aaetpt"	"apetpt"	"miptev"	"aaetptev"	"apetptev"	"miptdc"	"aaetptdc"	"apetptdc"	"totsnopt"	"annp"	"pjanpann"	"pjulpann"	"Jan_Tmp"	"Feb_Tmp"	"Mar_Tmp"	"Apr_Tmp"	"May_Tmp"	"Jun_Tmp"	"Jul_Tmp"	"Aug_Tmp"	"Sep_Tmp"	"Oct_Tmp"	"Nov_Tmp"	"Dec_Tmp"	"TMax"	"TMin"	"Jan_PPT"	"Feb_PPT"	"Mar_PPT"	"Apr_PPT"	"May_PPT"	"Jun_PPT"	"Jul_PPT"	"Aug_PPT"	"Sep_PPT"	"Oct_PPT"	"Nov_PPT"	"Dec_PPT"	"Jan_sun"	"Feb_sun"	"Mar_sun"	"Apr_sun"	"May_sun"	"Jun_sun"	"Jul_sun"	"Aug_sun"	"Sep_sun"	"Oct_sun"	"Nov_sun"	"Dec_sun"	"Need11"	"Broad11"	"Decid11"	"Ever11"	"TotWoody11"	"Open11"	"NeedStd"	"BroadStd"	"DecidStd"	"EverStd"
"S101"	6168.1	4343.1	0	7.4	27.1	0.3239	440.9001	1361.1211	0.3239	440.9001	1361.1211	0.3239	440.9001	1361.1211	0	442	0.0724	0.2014	7.4	9.1	11.4	15.4	19.9	25.5	27.1	25.8	23.2	17.8	11.7	7.9	41.1	-14.5	32	27	30	13	8	11	89	86	46	35	24	41	78.5	79.7	82.9	88.2	90.8	90.3	76.2	78	82.2	84.4	79.9	76.2	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S102"	6101.2	4276.2	0	7.2	26.9	0.3306	447.853	1354.611	0.3306	447.853	1354.611	0.3306	447.853	1354.611	0	449	0.0735	0.2027	7.2	8.9	11.2	15.3	19.7	25.3	26.9	25.6	23	17.6	11.6	7.7	41	-14.8	33	27	31	13	8	11	91	87	47	35	25	41	78.4	79.6	82.8	88	90.7	90.2	76	77.8	82.1	84.3	79.8	76.1	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S103"	6034.3	4209.3	0	7	26.7	0.3374	454.8747	1348.1847	0.3374	454.8747	1348.1847	0.3374	454.8747	1348.1847	0	456	0.0724	0.2039	7	8.7	11.1	15.1	19.6	25.1	26.7	25.4	22.8	17.4	11.4	7.5	40.8	-15.1	33	28	31	13	8	12	93	89	47	36	25	41	78.3	79.5	82.7	87.9	90.6	90.1	75.8	77.6	81.9	84.2	79.7	76	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S104"	5970.2	4145.3	0	6.9	26.5	0.342	458.8753	1341.798	0.342	458.8753	1341.798	0.342	458.8753	1341.798	0	460	0.0717	0.2043	6.9	8.6	10.9	14.9	19.4	25	26.5	25.2	22.6	17.2	11.2	7.3	40.6	-15.3	33	28	31	13	8	12	94	90	48	36	25	42	78.2	79.3	82.5	87.8	90.5	90	75.6	77.4	81.8	84.1	79.6	75.9	0.07	0.02	0.02	0.07	0.09	99.91	0.81	0.39	0.39	0.81
"S105"	7434.1	5609.1	0	10.4	31.1	0.221	328.2109	1484.9253	0.221	328.2109	1484.9253	0.221	328.2109	1484.9253	0	329	0.0851	0.1581	10.4	12.4	14.8	18.8	23.3	28.9	31.1	29.8	27.1	21.4	15	10.8	44.5	-9.5	28	24	27	10	5	5	52	59	34	27	22	36	80.3	82	85.3	90.6	92.8	93	80.2	82	85.4	86.5	82.1	78.2	0	0.14	0.14	0	0.14	99.86	0	1.16	1.16	0
"S106"	7415.6	5590.6	0	10.4	31	0.2219	329.1948	1483.2805	0.2219	329.1948	1483.2805	0.2219	329.1948	1483.2805	0	330	0.0848	0.1576	10.4	12.4	14.7	18.7	23.3	NA	31	29.8	27.1	21.4	14.9	10.7	44.5	-9.5	28	24	27	10	5	5	52	60	34	27	22	36	80.3	82	85.3	90.6	92.8	92.9	80.2	82	85.4	86.5	82	78.1	0	0.14	0.14	0	0.14	99.86	0	1.16	1.16	0
"S107"	7382.3	5557.3	0	10.3	30.9	0.2231	330.1948	1479.9768	0.2231	330.1948	1479.9768	0.2231	330.1948	1479.9768	0	331	0.0846	0.1601	10.3	12.3	14.6	18.6	23.2	28.7	30.9	29.7	27	21.3	14.8	10.7	44.4	-9.7	28	24	27	10	5	5	53	60	34	27	22	36	80.3	81.9	85.2	90.5	92.8	92.9	80.1	81.9	85.3	86.4	82	78.1	0	0.14	0.14	0	0.14	99.86	0	1.16	1.16	0
"S108"	7364	5539	0	10.3	30.9	0.2241	331.1948	1477.934	0.2241	331.1948	1477.934	0.2241	331.1948	1477.934	0	332	0.0843	0.1627	10.3	12.2	14.6	18.6	23.1	28.7	30.9	29.6	26.9	21.2	14.8	10.6	44.4	-9.8	28	24	27	10	5	5	54	60	34	27	22	36	80.2	81.9	85.2	90.5	92.7	92.8	80	81.8	85.2	86.4	81.9	78.1	0	0.14	0.14	0	0.14	99.86	0	1.16	1.16	0
"S109"	7336.6	5511.5	0	10.2	30.8	0.2258	333.1626	1475.5166	0.2258	333.1626	1475.5166	0.2258	333.1626	1475.5166	0	334	0.0838	0.1617	10.2	12.2	14.5	18.5	23.1	28.6	30.8	29.6	26.8	21.1	14.7	10.5	44.3	-9.9	28	24	27	10	5	5	54	61	34	28	22	36	80.2	81.8	85.1	90.4	92.7	92.8	79.9	81.8	85.2	86.4	81.9	78	0	0.14	0.14	0	0.14	99.86	0	1.16	1.16	0
"S110"	7357	5532	0	10.9	30.2	0.2097	310.1819	1478.8217	0.2097	310.1819	1478.8217	0.2097	310.1819	1478.8217	0	311	0.0772	0.209	10.9	12.5	14.6	18.4	22.9	28.1	30.2	29.1	26.8	21.3	15.2	11.3	44.1	-8.1	24	19	21	8	4	5	65	61	34	23	18	29	80.3	81.9	85.2	90.6	92.5	92.3	78.9	81.1	84.8	86.2	82.1	77.8	0.02	0.48	0.48	0.02	0.5	99.5	0.38	2.37	2.37	0.38
