sample	vegcode	elev
S783	7	2073
S784	7	2134
S785	7	2134
S786	7	2134
S787	7	2134
S788	7	2225
S789	7	2080
S790	8	2
S791	8	16
S792	8	2
S793	8	5
S794	8	1581
S795	8	2073
S796	8	1632
S797	8	1878
S798	8	1830
S799	8	1924
S800	8	2023
S801	8	1813
S802	8	2204
S803	8	2024
S804	8	2015
S805	8	1802
S806	8	1113
S807	8	2059
S808	8	1684
S809	8	1805
S810	8	2158
S811	8	2073
S812	8	1918
S813	8	1888
S814	8	1848
S815	8	2169
S816	8	2198
S817	8	1860
S818	8	1733
S819	8	2365
S820	8	1262
S821	8	1691
S822	8	1262
S823	8	1262
S824	8	1262
S825	8	914
S826	8	1524
S827	8	1630
S828	8	1996
S829	8	1219
S830	8	1265
S831	8	1363
S832	8	1060
S833	8	1620
S834	8	320
S835	8	1251
S836	8	1097
S837	8	1143
S838	8	792
S839	8	1097
S840	8	1591
S841	8	714
S842	8	2193
S843	8	1890
S844	8	503
S845	8	457
S846	8	427
S847	8	594
S848	8	1920
S849	8	625
S850	8	1868
S851	8	1768
S852	8	945
S853	8	884
S854	8	1661
S855	8	1173
S856	8	1585
S857	8	915
S858	8	1219
S859	8	1524
S860	8	1707
S861	8	1829
S862	8	2134
S863	8	2535
S864	8	2118
S865	8	2051
S866	8	2743
S867	8	2042
S868	8	1859
S869	8	2220
S870	8	640
S871	8	777
S872	8	213
S873	8	1036
S874	8	585
S875	8	305
S876	8	1265
S877	8	1890
S878	8	1890
S879	8	2219
S880	8	1345
S881	8	1554
S882	8	2430
S883	8	1225
S884	8	1695
S885	8	1212
S886	8	914
S887	8	2743
S888	8	914
S889	8	2015
S890	8	915
S891	8	1220
S892	8	1524
S893	8	1829
S894	8	2134
S895	8	2439
S896	8	3034
S897	8	2226
S898	8	2073
S899	8	1683
S900	8	2438
S901	8	2816
S902	8	1941
S903	8	2257
S904	8	2587
S905	8	2883
S906	8	777
S907	8	2348
S908	8	1524
S909	8	1463
S910	8	549
S911	8	2247
S912	8	2073
S913	8	1832
S914	8	1372
S915	8	975
S916	8	1675
S917	8	1585
S918	8	1402
S919	8	1670
S920	8	1820
S921	8	1820
S922	8	1980
S923	8	1980
S924	8	2130
S925	8	2280
S926	8	2439
S927	8	1565
S928	8	1341
S929	8	1372
S930	8	1433
S931	8	1372
S932	8	1402
S933	8	2063
S934	8	2064
S935	8	2065
S936	8	2066
S937	8	2067
S938	8	2068
S939	8	2069
S940	8	2070
S941	8	2097
S942	8	2125
S943	8	2153
S944	8	2180
S945	8	2208
S946	8	2263
S947	8	2291
S948	8	2291
S949	8	2320
S950	8	2340
S951	8	2380
S952	8	2420
S953	8	2484
S954	8	2553
S955	8	2622
S956	8	853
S957	8	884
S958	8	884
S959	8	884
S960	8	914
S961	8	1067
S962	8	1100
S963	8	1036
S964	8	1554
S965	8	1524
S966	8	1585
S967	8	1646
S968	8	1950
S969	8	1219
S970	8	1676
S971	8	1905
S972	8	1965
S973	8	2075
S974	8	2105
S975	8	1992
S976	8	2073
S977	8	2120
S978	8	2431
S979	8	1415
S980	8	1219
S981	8	1707
S982	8	853
S983	8	1829
S984	8	1200
S985	8	1480
S986	8	2040
S987	8	1202
S988	8	1220
S989	8	1737
S990	8	1829
S991	8	1859
S992	8	1859
S993	8	1890
S994	8	1890
S995	8	1890
S996	8	1920
S997	8	2073
S998	8	2134
S999	8	2256
S1000	8	1463
S1001	8	1463
S1002	8	1372
S1003	8	1921
S1004	8	1585
S1005	8	850
S1006	8	1460
S1007	8	1520
S1008	8	2130
S1009	8	2286
S1010	8	2515
S1011	8	2560
S1012	8	2590
S1013	8	1895
S1014	8	1524
S1015	8	1646
S1016	8	1829
S1017	8	2653
S1018	8	2720
S1019	8	2205
S1020	8	2285
S1021	8	2430
S1022	8	2215
S1023	8	2500
S1024	8	2362
S1025	8	1887
S1026	8	1887
S1027	8	1860
S1028	8	1862
S1029	8	1867
S1030	8	1873
S1031	8	1876
S1032	8	1879
S1033	8	1881
S1034	8	1883
S1035	8	1883
S1036	8	1883
S1037	8	1886
S1038	8	1887
S1039	8	1887
S1040	8	1892
S1041	8	1892
S1042	8	1892
S1043	8	1892
S1044	8	1893
S1045	8	1893
S1046	8	1894
S1047	8	1896
S1048	8	1897
S1049	8	1897
S1050	8	1982
S1051	8	1982
S1052	8	1982
S1053	8	1982
S1054	8	1982
S1055	8	2739
S1056	8	1820
S1057	8	1880
S1058	8	1880
S1059	8	1880
S1060	8	1880
S1061	8	1880
S1062	8	1961
S1063	8	2000
S1064	8	2100
S1065	8	2200
S1066	8	2300
S1067	8	2400
S1068	8	2270
S1069	8	2422
S1070	8	2320
S1071	8	2350
S1072	8	1982
S1073	8	2317
S1074	8	2393
S1075	8	2393
S1076	8	2424
S1077	8	2439
S1078	8	2439
S1079	8	2439
S1080	8	2485
S1081	8	2561
S1082	8	2591
S1083	8	2759
S1084	8	2727
S1085	8	2712
S1086	8	2753
S1087	8	2500
S1088	8	2085
S1089	8	2300
S1090	8	2324
S1091	8	2348
S1092	8	2372
S1093	8	2396
S1094	8	2420
S1095	8	3060
S1096	8	3290
S1097	8	2104
S1098	8	2095
S1099	8	2195
S1100	8	2694
S1101	8	2337
S1102	8	2707
S1103	8	2609
S1104	8	2561
S1105	8	2439
S1106	8	2256
S1107	8	1524
S1108	8	2367
S1109	8	2680
S1110	8	2300
S1111	8	2317
S1112	8	2683
S1113	8	3049
S1114	8	3110
S1115	8	3171
S1116	8	2490
S1117	8	2541
S1118	8	2591
S1119	8	2642
S1120	9	550
S1121	9	595
S1122	9	762
S1123	9	945
S1124	9	1113
S1125	9	1372
S1126	9	1480
S1127	9	1829
S1128	9	1737
S1129	9	945
S1130	9	1737
S1131	9	1725
S1132	9	1755
S1133	9	1480
S1134	9	1140
S1135	9	690
S1136	9	990
S1137	9	1890
S1138	9	2012
S1139	9	1585
S1140	9	735
S1141	9	1305
S1142	9	730
S1143	9	1280
S1144	9	1138
S1145	9	935
S1146	9	1460
S1147	9	1175
S1148	9	1460
S1149	9	1280
S1150	9	1360
S1151	9	1658
S1152	9	1250
S1153	9	1483
S1154	9	1402
S1155	9	1173
S1156	9	2280
S1157	9	2135
S1158	9	2057
S1159	9	1859
S1160	9	1980
S1161	9	1980
S1162	9	1880
S1163	9	1740
S1164	9	1280
S1165	9	2438
S1166	9	2438
S1167	9	1341
S1168	9	1282
S1169	9	2030
S1170	9	2743
S1171	9	1750
S1172	9	2438
S1173	9	168
S1174	9	2438
S1175	9	701
S1176	9	1097
S1177	9	1554
S1178	9	2225
S1179	9	2286
S1180	9	1676
S1181	9	1829
S1182	9	2134
S1183	9	2614
S1184	9	1911
S1185	9	1923
S1186	9	1935
S1187	9	1948
S1188	9	1969
S1189	9	1981
S1190	9	1990
S1191	9	2006
S1192	9	2030
S1193	9	2036
S1194	9	2036
S1195	9	2036
S1196	9	2036
S1197	9	2036
S1198	9	2036
S1199	9	2057
S1200	9	2096
S1201	9	2109
S1202	9	2140
S1203	9	2134
S1204	9	1737
S1205	9	1830
S1206	9	1646
S1207	9	1340
S1208	9	2134
S1209	9	2440
S1210	9	2440
S1211	9	2591
S1212	9	1370
S1213	9	2592
S1214	9	1680
S1215	9	1503
S1216	9	3018
S1217	9	2040
S1218	9	2317
S1219	9	2439
S1220	9	2485
S1221	9	2744
S1222	9	2440
S1223	9	2317
S1224	9	2500
S1225	9	2591
S1226	9	2622
S1227	9	3256
S1228	9	3352
S1229	9	1676
S1230	9	2173
S1231	9	1120
S1232	9	564
S1233	9	1238
S1234	9	1676
S1235	9	1737
S1236	9	2134
S1237	9	762
S1238	9	1940
S1239	9	2285
S1240	9	2410
S1241	9	2560
S1242	9	1676
S1243	9	1770
S1244	9	2300
S1245	9	1554
S1246	9	1768
S1247	9	1890
S1248	9	1890
S1249	9	1951
S1250	9	1951
S1251	9	2012
S1252	9	2042
S1253	9	2103
S1254	9	2134
S1255	9	2164
S1256	9	2225
S1257	9	2256
S1258	9	2408
S1259	9	2439
S1260	9	2500
S1261	9	2160
S1262	9	2350
S1263	9	2370
S1264	9	2530
S1265	9	2597
S1266	9	2469
S1267	9	2634
S1268	9	2628
S1269	9	2730
S1270	9	1884
S1271	9	1891
S1272	9	1893
S1273	9	1896
S1274	9	1896
S1275	9	2705
S1276	9	2766
S1277	9	2714
S1278	9	2797
S1279	9	2575
S1280	9	2725
S1281	9	3328
S1282	9	2300
S1283	9	2530
S1284	9	2622
S1285	9	2622
S1286	9	2652
S1287	9	2698
S1288	9	2713
S1289	9	2759
S1290	9	2774
S1291	9	2774
S1292	9	2774
S1293	9	2774
S1294	9	2774
S1295	9	2774
S1296	9	2774
S1297	9	2774
S1298	9	2774
S1299	9	2777
S1300	9	2779
S1301	9	2707
S1302	9	2500
S1303	9	2550
S1304	9	2600
S1305	9	2650
S1306	9	2700
S1307	9	2485
S1308	9	2707
S1309	9	2474
S1310	9	2552
S1311	9	2691
S1312	9	2691
S1313	9	2691
S1314	9	2691
S1315	9	2691
S1316	9	2851
S1317	9	3064
S1318	9	3201
S1319	9	3399
S1320	9	2515
S1321	9	3018
S1322	9	3060
S1323	9	3290
S1324	9	3399
S1325	9	3293
S1326	9	3308
S1327	9	3308
S1328	9	3201
S1329	9	3201
S1330	9	3201
S1331	9	3201
S1332	9	3201
S1333	9	2866
S1334	9	2740
S1335	9	2740
S1336	9	2770
S1337	9	2830
S1338	9	2930
S1339	9	2930
S1340	9	3165
S1341	9	2796
S1342	9	2915
S1343	9	3262
S1344	9	2693
S1345	9	2744
S1346	9	2805
S1347	9	3049
S1348	9	442
S1349	9	442
S1350	9	2073
S1351	9	2226
S1352	9	2287
S1353	9	2317
S1354	9	2354
S1355	9	2576
S1356	9	2634
S1357	9	2683
S1358	9	2713
S1359	9	2720
S1360	9	2835
S1361	9	2866
S1362	9	2927
S1363	9	2942
S1364	9	2988
S1365	9	3049
S1366	9	3110
S1367	9	3116
S1368	9	3134
S1369	9	3146
S1370	9	3171
S1371	9	3186
S1372	9	3195
S1373	9	3220
S1374	10	91
S1375	10	229
S1376	10	30
S1377	10	46
S1378	10	30
S1379	10	23
S1380	10	2
S1381	10	23
S1382	10	55
S1383	10	595
S1384	10	15
S1385	10	91
S1386	10	550
S1387	10	152
S1388	10	41
S1389	10	0
S1390	10	134
S1391	10	168
S1392	10	30
S1393	10	30
S1394	10	15
S1395	10	5
S1396	10	30
S1397	10	30
S1398	10	10
S1399	10	76
S1400	10	6
S1401	10	30
S1402	10	15
S1403	10	76
S1404	10	168
S1405	10	107
S1406	10	61
S1407	10	12
S1408	10	15
S1409	10	21
S1410	10	15
S1411	10	146
S1412	10	15
S1413	10	183
S1414	10	15
S1415	10	46
S1416	10	61
S1417	10	183
S1418	10	183
S1419	10	15
S1420	10	8
S1421	10	2
S1422	10	15
S1423	10	15
S1424	10	168
S1425	10	503
S1426	10	122
S1427	10	901
S1428	10	8
S1429	10	122
S1430	10	1212
S1431	10	15
S1432	10	122
S1433	10	122
S1434	10	3
S1435	10	46
S1436	10	91
S1437	10	46
S1438	10	716
S1439	10	46
S1440	10	91
S1441	10	91
S1442	10	122
S1443	10	1189
S1444	10	335
S1445	10	107
S1446	10	61
S1447	10	122
S1448	10	61
S1449	10	107
S1450	10	91
